# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2584
#@/user_id	gudk
a 	啊	c=21 d=2.40962 t=2584
a li 	阿里	c=0 d=0.0102797 t=2584
a li yun 	阿里雲	c=1 d=0.103312 t=2584
ai 	唉	c=1 d=0.0280154 t=2584
an 	岸	c=1 d=0.090718 t=2584
an 	按	c=2 d=1.55029 t=2584
an 	案	c=2 d=0.733972 t=2584
an mo bang 	按摩棒	c=1 d=0.0193512 t=2584
an quan 	安全	c=1 d=0.0124629 t=2584
an zhuang 	安裝	c=2 d=0.915208 t=2584
ang 	卬	c=2 d=0.960789 t=2584
ao di 	奧迪	c=1 d=0.657047 t=2584
ba 	吧	c=15 d=2.0522 t=2584
ba 	把	c=2 d=0.00568457 t=2584
ba 	霸	c=1 d=0.162838 t=2584
ba ma 	爸媽	c=1 d=0.0898153 t=2584
bai wang 	百旺	c=1 d=0.235746 t=2584
ban 	板	c=0 d=0.000680566 t=2584
ban 	版	c=1 d=0.937067 t=2584
ban 	辦	c=5 d=0.77512 t=2584
ban fa 	辦法	c=1 d=0.00404611 t=2584
ban gong 	辦公	c=1 d=0.236928 t=2584
ban gong shi 	辦公室	c=1 d=0.0247235 t=2584
bang 	幫	c=1 d=0.215456 t=2584
bang mang 	幫忙	c=1 d=0.429557 t=2584
bang ni 	幫你	c=1 d=0.588605 t=2584
bao 	保	c=1 d=0.035437 t=2584
bao 	報	c=5 d=0.333952 t=2584
bao guan 	報關	c=0 d=0.0965553 t=2584
bao guan dan 	報關單	c=1 d=0.579842 t=2584
bao guan fei 	報關費	c=1 d=0.514274 t=2584
bao guan zi liao 	報關資料	c=1 d=0.45612 t=2584
bao hu 	保護	c=1 d=0.187308 t=2584
bao xian 	保險	c=1 d=0.0109436 t=2584
bao xiao 	報銷	c=1 d=0.865022 t=2584
bei 	被	c=1 d=0.0531307 t=2584
bei an 	備案	c=1 d=0.00308872 t=2584
bei fen 	備份	c=1 d=0.00571306 t=2584
bei rui te 	被瑞特	c=1 d=0.255381 t=2584
ben di 	本地	c=1 d=0.20089 t=2584
ben ke 	本科	c=1 d=0.66365 t=2584
ben lai 	本來	c=1 d=0.463013 t=2584
bi 	比	c=1 d=0.00123091 t=2584
bi jing 	畢竟	c=1 d=0.00465413 t=2584
bi ru 	比如	c=2 d=0.532592 t=2584
bi xu 	必須	c=3 d=0.202816 t=2584
bian 	變	c=4 d=0.937402 t=2584
bian hua 	變化	c=2 d=0.0271191 t=2584
bian ji 	編輯	c=1 d=0.951229 t=2584
bian lai 	變來	c=1 d=0.0234005 t=2584
