# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2579
#@/user_id	gudk
a 	啊	c=21 d=2.40962 t=2579
a li 	阿里	c=0 d=0.0102797 t=2579
a li yun 	阿里雲	c=1 d=0.103312 t=2579
ai 	唉	c=1 d=1 t=1864
an 	岸	c=1 d=1 t=2099
an 	按	c=2 d=1.55029 t=2579
an 	案	c=2 d=1.54607 t=2430
an mo bang 	按摩棒	c=1 d=0.0193512 t=2579
an quan 	安全	c=1 d=0.0124629 t=2579
an zhuang 	安裝	c=2 d=0.915208 t=2579
ang 	卬	c=2 d=0.960789 t=2579
ao di 	奧迪	c=1 d=1 t=2495
ba 	吧	c=15 d=2.0522 t=2579
ba 	把	c=2 d=0.00568457 t=2579
ba 	霸	c=1 d=1 t=2216
ba ma 	爸媽	c=1 d=0.0898153 t=2579
bai wang 	百旺	c=1 d=1 t=2290
ban 	板	c=0 d=0.000680566 t=2579
ban 	版	c=1 d=0.937067 t=2579
ban 	辦	c=5 d=0.77512 t=2579
ban fa 	辦法	c=1 d=1 t=1477
ban gong 	辦公	c=1 d=0.236928 t=2579
ban gong shi 	辦公室	c=1 d=1 t=1839
bang 	幫	c=1 d=0.215456 t=2579
bang mang 	幫忙	c=1 d=1 t=2410
bang ni 	幫你	c=1 d=1 t=2473
bao 	保	c=1 d=1 t=1911
bao 	報	c=5 d=1.10876 t=2339
bao guan 	報關	c=0 d=0.188692 t=2445
bao guan dan 	報關單	c=1 d=0.579842 t=2579
bao guan fei 	報關費	c=1 d=1 t=2446
bao guan zi liao 	報關資料	c=1 d=1 t=2422
bao hu 	保護	c=1 d=1 t=2244
bao xian 	保險	c=1 d=1 t=1676
bao xiao 	報銷	c=1 d=0.865022 t=2579
bei 	被	c=1 d=1 t=1992
bei an 	備案	c=1 d=1 t=1423
bei fen 	備份	c=1 d=0.00571306 t=2579
bei rui te 	被瑞特	c=1 d=1 t=2306
ben di 	本地	c=1 d=1 t=2258
ben ke 	本科	c=1 d=0.66365 t=2579
ben lai 	本來	c=1 d=1 t=2425
bi 	比	c=1 d=1 t=1239
bi jing 	畢竟	c=1 d=1 t=1505
bi ru 	比如	c=2 d=0.532592 t=2579
bi xu 	必須	c=3 d=1.15551 t=2231
bian 	變	c=4 d=0.937402 t=2579
bian hua 	變化	c=2 d=1.18825 t=1823
bian ji 	編輯	c=1 d=0.951229 t=2579
bian lai 	變來	c=1 d=0.0234005 t=2579
bian qu 	變去	c=1 d=0.0235177 t=2579
biao 	表	c=1 d=0.434666 t=2579
biao 	鏢	c=2 d=0.0172173 t=2579
biao zhun 	標準	c=1 d=0.0788664 t=2579
bie 	別	c=2 d=0.733447 t=2579
bie de 	別的	c=1 d=0.111917 t=2579
bie ren 	別人	c=2 d=1.00944 t=2579
bing 	並	c=1 d=0.008271 t=2579
bo li 	玻璃	c=1 d=0.226581 t=2579
bo yang 	博陽	c=1 d=0.353455 t=2579
bu 	不	c=9 d=1.40739 t=2579
bu 	補	c=1 d=1 t=1595
bu 	部	c=1 d=1 t=1819
bu cha 	不差	c=2 d=1.19537 t=2579
bu da 	不大	c=1 d=1 t=1844
bu ding 	不定	c=1 d=0.0668703 t=2579
bu duo 	不多	c=1 d=0.540641 t=2579
bu fen 	部分	c=1 d=0.852144 t=2579
bu gou 	不夠	c=6 d=0.806541 t=2579
bu gui fan 	不規範	c=1 d=1 t=2304
bu hui 	不會	c=5 d=0.634448 t=2579
bu jie 	不接	c=1 d=0.0124007 t=2579
bu kai 	不開	c=1 d=0.410656 t=2579
bu ke neng 	不可能	c=1 d=1 t=1326
bu ke qi 	不客氣	c=1 d=0.239309 t=2579
bu le 	不了	c=1 d=0.118837 t=2579
bu neng 	不能	c=7 d=1.2407 t=2579
bu qi 	不齊	c=1 d=0.0120946 t=2579
bu shang 	不上	c=2 d=0.65377 t=2579
bu shi 	不是	c=7 d=1.18107 t=2579
bu suan 	不算	c=2 d=1.80654 t=1975
bu tai 	不太	c=2 d=0.790571 t=2579
bu xing 	不行	c=4 d=1.88412 t=2579
bu xu yao 	不需要	c=1 d=0.847894 t=2579
bu yao 	不要	c=1 d=0.588605 t=2579
bu yi ding 	不一定	c=1 d=0.036334 t=2579
bu yi yang 	不一樣	c=2 d=0.923116 t=2579
bu yong 	不用	c=7 d=2.80306 t=2579
bu zhao ji 	不着急	c=1 d=0.121846 t=2579
bu zhi 	不止	c=1 d=1 t=2544
bu zhi dao 	不知道	c=2 d=0.865256 t=2579
bu zhi yu 	不至於	c=1 d=1 t=1926
bu zuo 	不做	c=1 d=1 t=1207
cai 	彩	c=2 d=0.0252394 t=2579
cai 	才	c=1 d=1 t=1294
cai 	蔡	c=2 d=0.335318 t=2579
cai dan 	菜單	c=2 d=0.680451 t=2579
cai gou 	採購	c=1 d=1 t=2390
cai liao 	材料	c=2 d=0.054204 t=2579
cai wu 	財務	c=2 d=0.246217 t=2579
can 	燦	c=1 d=0.075774 t=2579
cao zuo 	操作	c=3 d=0.839457 t=2579
ce shi 	測試	c=2 d=0.975778 t=2579
cha 	差	c=2 d=0.740818 t=2579
cha 	查	c=3 d=0.941765 t=2579
cha bu duo 	差不多	c=1 d=1 t=2269
cha kan 	查看	c=1 d=0.00895987 t=2579
chang qi 	長期	c=1 d=1 t=2401
chao 	超	c=3 d=2.6863 t=2137
chao jia 	吵架	c=1 d=0.937067 t=2579
chao shi 	超時	c=1 d=0.0162445 t=2579
che hui 	撤回	c=1 d=0.618783 t=2579
che xiao 	撤銷	c=1 d=0.847894 t=2579
chen 	晨	c=1 d=0.0862936 t=2579
chen 	琛	c=1 d=1 t=2097
chen 	辰	c=1 d=0.0867261 t=2579
chen 	陳	c=1 d=0.101774 t=2579
cheng 	城	c=3 d=0.66034 t=2579
cheng bei 	城北	c=0 d=0.1 t=1643
cheng bei lu 	城北路	c=2 d=1.99005 t=1646
cheng du 	程度	c=1 d=1 t=2579
cheng gong 	成功	c=2 d=0.154124 t=2579
cheng ji 	成績	c=2 d=0.0175277 t=2579
cheng xu 	程序	c=1 d=0.621885 t=2579
chong kai 	重開	c=1 d=0.122456 t=2579
chong qi 	重啓	c=2 d=1.2407 t=2579
chong xin 	重新	c=3 d=0.995012 t=2579
chong zhi 	重置	c=3 d=2.23125 t=2579
chou cheng 	稠城	c=1 d=1 t=1642
chou zhou 	稠州	c=1 d=0.0175097 t=2579
chu 	出	c=1 d=0.147342 t=2579
chu kou 	出口	c=1 d=1 t=2514
chu lai 	出來	c=2 d=1.11248 t=2393
chu li 	處理	c=4 d=0.726149 t=2579
chuang kou 	窗口	c=3 d=0.204948 t=2579
chun 	春	c=1 d=1 t=2089
ci 	詞	c=1 d=0.995012 t=2579
ci ku 	詞庫	c=1 d=0.0205478 t=2579
cui 	催	c=2 d=1.06587 t=1773
cun 	存	c=1 d=1 t=1924
cun 	村	c=1 d=0.690734 t=2579
cuo 	錯	c=1 d=0.00744658 t=2579
da 	大	c=2 d=0.985112 t=2579
da 	打	c=5 d=1.54711 t=2579
da bing 	大病	c=1 d=1 t=1675
da can 	大餐	c=1 d=0.913931 t=2579
da e 	大額	c=1 d=0.00571306 t=2579
da gai 	大概	c=1 d=0.477114 t=2579
da gou 	打勾	c=3 d=2.77425 t=2579
da kai 	打開	c=2 d=1.92644 t=2579
da lao 	大老	c=0 d=0.000680566 t=2579
da lao ban 	大老板	c=2 d=0.0385843 t=2579
da qian 	打錢	c=1 d=0.0152222 t=2579
da xie 	大寫	c=1 d=0.00532682 t=2579
da yin 	打印	c=2 d=1.55141 t=2579
da zhi 	大致	c=1 d=0.438235 t=2579
da zi 	打字	c=1 d=0.843665 t=2579
dai 	帶	c=2 d=0.021998 t=2579
dai 	袋	c=2 d=0.0209252 t=2579
dai li fei 	代理費	c=1 d=1 t=1853
dai ma 	代碼	c=1 d=1 t=1111
dan 	但	c=1 d=0.151829 t=2579
dan 	單	c=1 d=1 t=2460
dan hao 	單號	c=1 d=1 t=1157
dan shi 	但是	c=1 d=1 t=2107
dan xin 	擔心	c=1 d=1 t=2486
dang 	當	c=1 d=0.289384 t=2579
dang an 	檔案	c=3 d=2.32732 t=2296
dang tian 	當天	c=1 d=0.814647 t=2579
dao 	到	c=8 d=0.743242 t=2579
dao ban 	盜版	c=1 d=0.00914087 t=2579
dao fu 	到付	c=1 d=1 t=2063
dao ru 	導入	c=3 d=0.980199 t=2579
dao shi 	倒是	c=1 d=1 t=1842
de 	得	c=2 d=0.393197 t=2579
de 	的	c=150 d=13.3074 t=2579
deng 	等	c=3 d=1.65651 t=2469
deng lu 	登錄	c=1 d=0.752014 t=2579
deng xia 	等下	c=4 d=1.13318 t=2579
di 	低	c=1 d=0.0227089 t=2579
di 	第	c=1 d=0.904837 t=2579
di er 	第二	c=2 d=0.99005 t=2579
di fang 	地方	c=2 d=0.740818 t=2579
di kou 	抵扣	c=2 d=0.0231078 t=2579
di kou lian 	抵扣聯	c=1 d=0.232236 t=2579
di san fang 	第三方	c=1 d=0.283654 t=2579
di yi nian 	第一年	c=1 d=1 t=1089
di yi wei 	第一位	c=1 d=0.980199 t=2579
di zhi 	地址	c=2 d=0.843665 t=2579
dian 	點	c=8 d=0.760111 t=2579
dian hua 	電話	c=7 d=0.790571 t=2579
dian nao 	電腦	c=5 d=2.26128 t=2579
dian zi 	電子	c=8 d=1.03501 t=2579
diao 	掉	c=9 d=0.852144 t=2579
ding 	定	c=1 d=1 t=1154
ding cang 	定艙	c=1 d=1 t=2448
ding qi 	定期	c=1 d=0.0130365 t=2579
